                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5142,                 3.7843,                 1.6245,                0.00407,                 0.7885,                 0.1777,                0.11489,                 1.1763,                 3.6346,                 1.3382,             0.00010003,             0.00010003,             0.00010003
                      1,                 1.2533,                 3.1399,                  1.405,                0.00449,                0.85867,                0.44536,                0.33055,                 1.1603,                 3.3828,                 1.3076,             0.00021223,             0.00021223,             0.00021223
                      2,                 1.1698,                 2.2573,                 1.3076,                0.00366,                0.73684,                0.48451,                0.27842,                 1.3649,                 3.3351,                  1.523,             0.00032216,             0.00032216,             0.00032216
                      3,                 1.1038,                 1.9393,                 1.2925,                0.73134,                0.38624,                0.41426,                0.28022,                 1.4889,                 3.4622,                 1.5707,             0.00042983,             0.00042983,             0.00042983
                      4,                 1.0639,                 1.7277,                 1.2138,                0.93756,                0.08112,                0.20073,                0.07486,                 1.7826,                 3.5141,                 1.8099,             0.00053524,             0.00053524,             0.00053524
                      5,                 1.0593,                 1.5425,                 1.2063,                0.99015,                0.03704,                0.17083,                 0.0564,                 1.4371,                 3.5437,                 1.5333,             0.00063838,             0.00063838,             0.00063838
                      6,                  1.034,                 1.5381,                 1.2058,                0.85423,                0.30477,                0.45665,                0.27932,                 1.3906,                 3.2039,                 1.5365,             0.00073926,             0.00073926,             0.00073926
                      7,                 1.0554,                 1.4764,                 1.2162,                0.89056,                0.34057,                0.51768,                0.34659,                 1.3272,                 3.0633,                 1.4932,             0.00083788,             0.00083788,             0.00083788
                      8,                 1.0188,                 1.4334,                 1.1943,                0.87832,                0.42188,                0.53793,                0.29999,                 1.4784,                 3.0693,                 1.5636,             0.00093423,             0.00093423,             0.00093423
                      9,                0.98966,                  1.366,                 1.1779,                0.68683,                0.43453,                0.53019,                0.33788,                 1.4343,                 2.9377,                 1.4923,              0.0010283,              0.0010283,              0.0010283
                     10,                0.99223,                 1.3268,                  1.159,                 0.4545,                0.24506,                0.33602,                0.16094,                 1.6952,                  3.172,                 1.6807,              0.0011202,              0.0011202,              0.0011202
                     11,                 1.0184,                 1.3647,                 1.1862,                 0.5543,                0.50306,                0.52318,                0.18346,                 1.8831,                 2.7318,                 1.8592,              0.0012097,              0.0012097,              0.0012097
                     12,                 1.0107,                 1.3265,                 1.1735,                0.76555,                0.38791,                0.46506,                0.29908,                 1.7008,                 3.0551,                 1.7593,              0.0012592,              0.0012592,              0.0012592
                     13,                 1.0663,                 1.4096,                 1.2311,                0.79714,                0.37189,                0.44651,                0.16852,                 1.7793,                 3.0509,                 1.8476,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.0372,                 1.3126,                 1.1934,                 0.8271,                0.37294,                0.51641,                0.28867,                 1.8322,                 2.4157,                 1.9118,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.0394,                 1.3311,                 1.2192,                0.82615,                0.49966,                0.62835,                0.35368,                  1.692,                 2.1671,                  1.873,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.0527,                 1.2614,                 1.2151,                0.70926,                0.50014,                0.60217,                0.33931,                 1.6354,                 2.1261,                 1.8346,              0.0012168,              0.0012168,              0.0012168
                     17,                0.99551,                  1.166,                 1.1697,                0.69809,                0.40268,                0.49404,                0.27144,                 2.0119,                 2.4061,                 2.1138,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.0138,                 1.1801,                 1.1791,                0.48656,                0.53027,                0.51822,                0.22846,                 1.7124,                 2.0094,                 1.7877,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.0154,                 1.1027,                 1.1849,                  0.689,                0.55983,                0.59416,                0.29874,                 1.7002,                 1.9605,                 1.8519,              0.0011744,              0.0011744,              0.0011744
                     20,                0.96039,                 1.0668,                 1.1593,                0.83232,                0.58448,                0.68036,                0.39437,                 1.7232,                 2.0046,                 1.7698,              0.0011602,              0.0011602,              0.0011602
                     21,                 0.9109,                 1.0472,                 1.1297,                0.66583,                0.70788,                0.70761,                0.37888,                 1.6646,                 1.6925,                 1.7206,              0.0011461,              0.0011461,              0.0011461
                     22,                0.89668,                 1.0382,                 1.1071,                0.61494,                0.41494,                0.43261,                0.22643,                 1.8046,                 2.6035,                 2.0819,              0.0011319,              0.0011319,              0.0011319
                     23,                0.88652,                0.98931,                 1.0984,                0.65162,                0.54222,                0.60169,                0.30458,                 1.8028,                 2.2487,                  2.101,              0.0011178,              0.0011178,              0.0011178
                     24,                0.90963,                 0.9608,                 1.1369,                0.70896,                0.57307,                0.58112,                0.29629,                 1.9843,                 1.9794,                 2.0863,              0.0011036,              0.0011036,              0.0011036
                     25,                0.89877,                0.95888,                 1.1201,                0.80972,                0.56639,                0.67846,                0.31691,                 1.9571,                 1.7737,                 2.1211,              0.0010895,              0.0010895,              0.0010895
